Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Ardbeg 1997 SMWS 33.108","13 yrs","1997","Ardbeg","The Scotch Malt Whisky Society","$110","56.6","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 3.169 SMWS","16 yrs","1994","Bowmore","The Scotch Malt Whisky Society","$115","56.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"St. Magdalene 1982 Whisky Tales","27 yrs","1982","St. Magdalene","Whisky Tales","N/A","58.6","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1973 Single Malts of Scotland","34 yrs","1973","Glen Grant","Speciality Drinks Ltd","$150","54.7","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Arrran Single Cask 3rd Bottling","5 yrs","1997","Arran","Arran","$72","58.2","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Johnnie Walker Gold","18 yrs","N/A","Johnnie Walker","Johnnie Walker","$60","40","N/A","Wide","Scotland","Scotch","Blend",
"Longrow 10 1996","10 yrs","N/A","Longmorn","Longrow","$80","49","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Dailuaine 1962 Cadenhead","27 yrs","1962","Dailuaine","Cadenhead","N/A","50.8","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Macallan 1997 Murray McDavid","9 yrs","1997","Macallan","Murray McDavid","$55","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Clynelish SMWS 26.49","22 yrs","1984","Clynelish","The Scotch Malt Whisky Society","$140","58.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore Battlehill","8 yrs","N/A","Bowmore","Battlehill","$45","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1983 McGibbon's Provenance","27 yrs","1983","Port Ellen","Douglas Laing","$235","46","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Laphroaig 1999 Signatory (Binny's)","7 yrs","1999","Laphroaig","Signatory","$50","58","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Hakushu 12","12 yrs","N/A","Hakushu","Hakushu","$80","43","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Longmorn 13 Chieftain's","13 yrs","1994","Longmorn","Ian Macleod","$65","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1991 DL Platinum Old & Rare","20 yrs","1991","Ardbeg","Douglas Laing","$400","48.3","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Highland Park 1968","N/A","1968","Highland Park","Highland Park","$4000","45.8","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Rip Van Winkle 10/107","10 yrs","N/A","Buffalo Trace","Buffalo Trace","$35","53.5","Kentucky","Wide","USA","American","Bourbon",
"Nikka Pure Malt 21","21 yrs","N/A","Nikka","Nikka","N/A","43","Japan","Overseas Specialty","Japan","Japanese","Vatted Malt",
"Black Maple Hill 18 Rye","18 yrs","N/A","NDP","Kentucky Bourbon Distillers","N/A","47.5","Kentucky","Collectors Only","USA","American","Rye",
"Glendronach 8 Teacher's (1980s)","8 yrs","N/A","Glendarroch","Teacher's","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Super Nikka Whisky","N/A","N/A","Nikka","Nikka","$20","43","Japan","Specialty Stores","Japan","Japanese","Blend",
"Port Ellen 1982 Old Malt Cask for PLOWED","22 yrs","1982","Port Ellen","Douglas Laing","N/A","61.1","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 8 (Murray McDavid Chenin Finish)","8 yrs","1998","Bowmore","Murray McDavid","$50","0","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn 1973 Duncan Taylor","29 yrs","1973","Longmorn","Duncan Taylor","$170","47.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"St. Magdalene SMWS 49.10","26 yrs","1982","St. Magdalene","The Scotch Malt Whisky Society","$160","59.1","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Bernheim Original ","N/A","N/A","Bernheim","Heaven Hill","$30","45","Kentucky","Specialty Stores","USA","American","Other",
"Aberlour A'Bunadh (Batch 21)","N/A","N/A","Aberlour","Aberlour","$53","59.5","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Coleburn 1983 A.D. Rattray (Chateau Louis)","25 yrs","1983","Coleburn","A.D. Rattray","$150","47.3","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Pappy Van Winkle 15","15 yrs","N/A","Buffalo Trace ","Buffalo Trace ","$70","53.5","Kentucky","Specialty Stores","USA","American","Bourbon",
"Amrut Double Cask","7 yrs","N/A","Amrut","Amrut","$125","46","N/A","Overseas Specialty","India","World","Other",
"Mortlach 1989 Old Masters","16 yrs","1989","Morlach","James MacArthur","$120","56.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 36","8 yrs","2002","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Jura 21 ","21 yrs","N/A","Jura","Jura","$115","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Craigellachie 1994 SMWS 44.43","15 yrs","1994","Craigellachie","The Scotch Malt Whisky Society","$110","59.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ichiro's Malt 20","20 yrs","N/A","Number One Drinks Company","Number One Drinks Company","$275","57.5","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Redbreast 12 Cask Strength","12 yrs","N/A","Redbreast","Midleton","$65","57.7","Ireland","Specialty Stores","Ireland","Irish","Pure Pot Still",
"Macallan 18 (1993)","18 yrs","1993","Macallan","Macallan","$160","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Bowmore 1989 Liquid Sun","22 yrs","1989","Bowmore","Liquid Sun","$130","50.7","Islay","Overseas Wide","Scotland","Scotch","Single Malt",
"Nikka The Blend of ","N/A","N/A","Nikka","Nikka","N/A","45","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Mortlach 1989 Signatory (Binny's)","17 yrs","1989","Morlach","Signatory","$59","56.9","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"MacPhail's 10","10 yrs","N/A","Gordon & MacPhail","Gordon & MacPhail","$40","40","N/A","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 9 Marsala Wood","9 yrs","1996","Springbank","Springbank","$90","58","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Tomintoul 16","16 yrs","N/A","Tomintoul","Tomintoul","$45","40","Speyside","Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1979 Spirit of Scotland (2004)","25 yrs","1979","Ardbeg","Gordon & MacPhail","N/A","59.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Cutty Sark","N/A","N/A","Cutty Sark","Cutty Sark","$20","40","N/A","Wide","Scotland","Scotch","Blend",
"Clynelish 1995 Murray McDavid","12 yrs","1995","Clynelish","Murray McDavid","$70","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Scotia 12","12 yrs","N/A","Glen Scotia","Glen Scotia","$60","43","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Experimental 1991 Rediscovered Barrel","19 yrs","1991","Buffalo Trace","Buffalo Trace","$65","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Longmorn-Glenlivet 1968 Scott's Selection","35 yrs","1968","Longmorn","Scott's Selection","$180","61.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"BenRiach 1994 Limited Release Cask 804","12 yrs","1994","BenRiach","BenRiach","$80","57","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Rosebank 12 Flora and Fauna","12 yrs","N/A","Rosebank","Rosebank","$80","43","Lowland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Hobo's Whisky Anejo","NA yrs","N/A","N/A","Dellepiane San Luis S.A.","$5","40","N/A","Overseas Specialty","Argentina","World","Other",
"Hanyu 1991 Ichiro's Malt Ace of Spades","21 yrs","1985","Hanyu","Venture Whisky","N/A","55.7","Japan","Collectors Only","Japan","Japanese","Single Malt",
"Talisker 18","18 yrs","N/A","Talisker","Talisker","$80","45.8","Highland","Wide","Scotland","Scotch","Single Malt",
"Glengoyne 17","17 yrs","N/A","Glengoyne","Glengoyne","$70","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Highland Park 1990 (Beltramo's)","15 yrs","1990","Highland Park","Highland Park","$80","53.6","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Black Maple Hill 21 Cask 2","21 yrs","N/A","NDP","Kentucky Bourbon Distillers","N/A","47.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Nikka 1987 Single Cask","22 yrs","1987","Nikka","Nikka","N/A","58","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Glendronach 1994 Single Cask (K&L)","16 yrs","1994","Glendarroch","Glendronach","$116","56","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Karuizawa Koi 1984 #4021","N/A","64.5","Karuizawa","Number One Drinks Company","$350","64.5","Japan","Collectors Only","Japan","Japanese","Single Malt",
"Craigellachie 1989 Connisseurs Choice","15 yrs","1989","Craigellachie","Gordon & MacPhail","$80","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 15","15 yrs","N/A","Springbank","Springbank","$95","46","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"BenRiach 1976 (for The Whisky Fair)","33 yrs","1976","BenRiach","BenRiach","$240","47.4","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glen Grant 1973 Thosop Import","37 yrs","1973","Glen Grant","Thosop","$200","46","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Bowmore 1984 Mackillop's Choice","19 yrs","1984","Bowmore","Mackillop's Choice","N/A","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Cadenhead's Campbeltown 3 Bond","N/A","N/A","Cadenhead","Cadenhead","N/A","0","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Old Grand Dad Bottled in Bond (1990's)","N/A","N/A","Jim Beam","Old Grand Dad Distillery","N/A","50","Kentucky","Collectors Only","USA","American","Bourbon",
"Old Potrero 18th Century Style Spirit ","N/A","N/A","Anchor Distilling Co.","Anchor Distilling Co.","$60","61.6","San Francisco","Better Stores","USA","American","Rye",
"Benromach Organic","N/A","N/A","Benromach","Benromach","$60","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Glenturret 8","8 yrs","N/A","Glenturret","Glenturret","N/A","43","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Clynelish 1999 G&M","10 yrs","1999","Clynelish","Gordon & MacPhail","$70","58.3","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenrothes 12 Berry Bros and Rudd","12 yrs","N/A","Glenrothes","Berry Bros & Rudd","N/A","43","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1983 Old Bothwell (220)","26 yrs","1983","Port Ellen","Old Bothwell","$210","54.9","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bowmore 1971","34 yrs","1971","Bowmore","Bowmore","N/A","51","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Whisky Live","24 yrs","1982","Port Ellen","Douglas Laing","N/A","57.6","Islay","Wide","Scotland","Scotch","Single Malt",
"Jefferson's Presidential Select 18","18 yrs","1991","McLain & Kyne","McLain & Kyne","$90","47","N/A","Wide","USA","American","Bourbon",
"Port Ellen 1982 Murray McDavid Mission","27 yrs","1982","Port Ellen","Murray McDavid","$350","48.6","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenfarclas 1977 Glenhaven","17 yrs","1977","Glenfarclas","Glenhaven","N/A","53.2","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Rowan's Creek","12 yrs","1992","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$50","50.05","Kentucky","Wide","USA","American","Bourbon",
"Speyside 10","10 yrs","N/A","Speyside","Speyside","$35","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Longmorn 1984 Cadenhead's","12 yrs","1984","Longmorn","Cadenhead","N/A","60.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Parker's Heritage Collection Barrel Finished (2011)","10 yrs","N/A","Heaven Hill","Heaven Hill","$80","50","Kentucky","Specialty Stores","USA","American","Bourbon",
"Aberlour 16","16 yrs","N/A","Aberlour","Aberlour","$70","46","Speyside","Wide","Scotland","Scotch","Single Malt",
"Springbank 1972","22 yrs","1972","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 1991 Queen of the Moorlands","N/A","1991","Bowmore","Queen of the Moorlands","N/A","57.7","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Blair Athol Flora and Fauna","12 yrs","N/A","Blair Athol","Blair Athol","$60","43","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Nikka Pure Malt Black","N/A","N/A","Nikka","Nikka","$38","43","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Buffalo Trace Single Oak Barrel 72","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Springbank 1992 Berrys' Own Selection "Peat-Smoked"","17 yrs","1992","Springbank","Berry Bros & Rudd","N/A","46","Campbeltown","Overseas Specialty","Scotland","Scotch","Single Malt",
"Scapa 19yr D&M Aficionados Club","19 yrs","1989","Scapa","Lorne Mackillop","$120","52.7","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Royal Island Finest Old 17","17 yrs","N/A","Royal Island","Royal Island","$43","43","N/A","Overseas Specialty","Scotland","Scotch","Blend",
"Kilchoman Inaugural 100% Islay","3 yrs","N/A","Kilchoman","Kilchoman","$93","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Early Times Kentucky Whisky","N/A","N/A","Brown-Forma","Brown-Forman ","$10","40","Kentucky","Wide","USA","American","Bourbon",
"Springbank 12 Douglas Laing Premiere Barrel","12 yrs","1993","Springbank","Douglas Laing","$200","46","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 1991 Dewar Rattray (#2055)","14 yrs","1991","Bowmore","A.D. Rattray","$95","59.4","Islay","Wide","Scotland","Scotch","Single Malt",
"Ten High","N/A","N/A","Tom Moore Distillery","Tom Moore Distillery","$10","40","Kentucky","Wide","USA","American","Bourbon",
"Hellyer's Road Peated","N/A","N/A","Heaven Hill","Heaven Hill","$75","46.2","N/A","Overseas Specialty","Australia","World","Other",
"Glenfiddich 18","18 yrs","N/A","Glenfiddich","Glenfiddich","$66","40","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Balvenie 40 Batch 2","40 yrs","N/A","Balvenie","Balvenie","$3500","48.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Linkwood 1995 Signatory","12 yrs","1995","Linkwood","Signatory","$66","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Old Charter 8","8 yrs","N/A","Old Charter","Buffalo Trace ","$12","40","Kentucky","Wide","USA","American","Bourbon",
"John Barr Blue 17","17 yrs","N/A","N/A","John Barr","$46","40","N/A","Better Stores","Scotland","Scotch","Blend",
"Glen Elgin 1991 Duncan Taylor","19 yrs","1991","Glen Elgin","Duncan Taylor","$110","53.6","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Willett 17 yo Barrel L10-443 (Reid & Emerald)","17 yrs","1993","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","66.6","Kentucky","Collectors Only","USA","American","Bourbon",
"Amrut 100","NA yrs","N/A","Amrut","Amrut","$150","0","N/A","Collectors Only","India","World","Other",
"Glen Spey 1977 Dewar Rattray (#3660)","30 yrs","1977","Glen Spey","A.D. Rattray","$135","54.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caol Ila 1994 Connoisseur's Choice","12 yrs","1994","Caol Ila","Gordon & MacPhail","N/A","40","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"New Holland Malt House","N/A","N/A","New Holland","New Holland","$35","45","Michigan","Specialty Stores","USA","American","Other",
"Benrinnes 1972 Signatory","24 yrs","1972","Benrinnes","Signatory","N/A","56.4","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Hanyu 1991 Whisky Live 2010","18 yrs","1991","Hanyu","Hanyu","$150","57.3","Japan","Specialty Stores","Japan","Japanese","Single Malt",
"Glendronach 14 Sauternes","14 yrs","N/A","Glendarroch","Glendronach","$60","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Clynelish 1984 Glenhaven","12 yrs","1984","Clynelish","Glenhaven","N/A","61","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Spey 21","21 yrs","1989","Glen Spey","Glen Spey","$180","50.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Woodford Reserve Distiller's Select","N/A","N/A","Brown-Forman","Brown-Forman","$40","45.2","N/A","Wide","USA","American","Bourbon",
"Amrut Cask Strength (2010)","NA yrs","N/A","Amrut","Amrut","$55","61.8","N/A","Specialty Stores","India","World","Other",
"Buffalo Trace Single Oak Barrel 100","8 yrs","2002","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"W.L. Weller's Cabin Still (circa 1960)","6 yrs","N/A","Stitzel-Weller","Stitzel-Weller","N/A","43","Kentucky","Collectors Only","USA","American","Bourbon",
"Ledaig 10","10 yrs","N/A","Ledaig","Ledaig","$46","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Glen Garioch 12 National Trust for Scotland","12 yrs","N/A","Glen Garioch","Glen Garioch","N/A","43","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Old Malt Cask 25yo","25 yrs","1982","Port Ellen","Douglas Laing","$135","50","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank CV - circa 2010","NA yrs","N/A","Springbank","Springbank","$45","46","Campbeltown","Better Stores","Scotland","Scotch","Single Malt",
"Aberlour A'Bunadh (Batch 16)","N/A","N/A","Aberlour","Aberlour","$65","59.6","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Balvenie 17 Rum Cask","17 yrs","N/A","Balvenie","Balvenie","$130","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Springbank Local Barley 1966 (Cask 482)","30 yrs","1966","Springbank","Springbank","N/A","54.9","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Classic of Islay 21","21 yrs","N/A","Lagavulin","Classic of Islay","$95","0","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
