Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Hibiki 17","17 yrs","N/A","Suntory","Suntory","$95","43","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Hiram Walker's Ten High","4 yrs","N/A","Hiram Walker's","Hiram Walker's","N/A","40","Illinois","Collectors Only","USA","American","Bourbon",
"Knockando 12","12 yrs","N/A","Knockando","Knockando","$50","43","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Port Charlotte PC5 Evolution","5 yrs","2001","Port Charlotte","Port Charlotte","$140","63.5","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank 1967 Signatory Vintage","21 yrs","1967","Springbank","Signatory","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen Eleventh Release","32 yrs","1978","Port Ellen","Port Ellen","N/A","53.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Imperial 15 Malt Trust","15 yrs","N/A","The Imperial Distillery","Malt Trust","N/A","58.6","Speyside","Wide","Scotland","Scotch","Single Malt",
"Glen Spey 1977 Dewar Rattray (#3652)","30 yrs","1977","Glen Spey","A.D. Rattray","$200","50.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Linkwood 1973 TWE 10th Anniversary","36 yrs","1973","Linkwood","The Whisky Exchange","$189","49.7","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Connemara Cask Strength Peated Single Malt ","N/A","N/A","Concannon","Concannon","$70","57.9","Ireland","Wide","Ireland","Irish","Single Malt",
"Sazerac 18 (Fall 2010)","18 yrs","N/A","Buffalo Trace","Buffalo Trace","$75","45","Kentucky","Specialty Stores","USA","American","Rye",
"Arran Amarone Finish","8 yrs","N/A","Arran","Arran","$60","50","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn 1973 Blackadder","30 yrs","1973","Longmorn","Blackadder","N/A","45","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Laphroaig 25 Cask Strength 2011","25 yrs","N/A","Laphroaig","Laphroaig","$450","48.6","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Sheep Dip 1990 "Old Hebridean"","N/A","N/A","Sheep Dip","Spencerfield Spirit Co","$70","46","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Four Roses Single Barrel Binny's #3","N/A","N/A","Four Roses ","Four Roses ","$35","50","Kentucky","Specialty Stores","USA","American","Bourbon",
"Glendronach 15","15 yrs","N/A","Glendarroch","Glendronach","$160","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Compass Box Flaming Heart Fourth Edition","N/A","N/A","Compass Box","Compass Box","$90","48.9","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Buffalo Trace Single Oak Barrel 191","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Springbank 1974","25 yrs","1974","Springbank","Springbank","N/A","46.3","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1967 24yo","24 yrs","1967","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Jameson Rarest Vintage Reserve 2007 ","N/A","2007","Jameson","Jameson","$250","46","Ireland","Specialty Stores","Ireland","Irish","Other",
"BenRiach 16","16 yrs","N/A","BenRiach","BenRiach","$70","46","Speyside","Wide","Scotland","Scotch","Single Malt",
"Brora 1981 Signatory (Cask 1517)","24 yrs","1981","Brora","Signatory","$196","59.3","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank Local Barley 1966 (Cask 504)","30 yrs","1966","Springbank","Springbank","N/A","55","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Caol Ila 1997 Chieftain's ","14 yrs","1997","Caol Ila","Chieftain's","$100","55","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Blanton's Straight from the Barrel","N/A","N/A","Buffalo Trace","Buffalo Trace","$88","68.3","Kentucky","Overseas Specialty","USA","American","Bourbon",
"Springbank 23 James Macarthur's","23 yrs","N/A","Springbank","James MacArthur ","N/A","53.7","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore Black 1964 2nd Edition","30 yrs","1964","Bowmore","Bowmore","N/A","50","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Springbank 1997 (1st Batch)","10 yrs","1997","Springbank","Springbank","$95","55.2","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 18 (1980)","18 yrs","1980","Macallan","Macallan","N/A","43","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfarclas 105 (circa 2008)","N/A","N/A","Glenfarclas","Glenfarclas","$86","60","Speyside","Wide","Scotland","Scotch","Single Malt",
"Ben Nevis 25","25 yrs","N/A","Ben Nevis","Ben Nevis","$130","56","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenlochy 1965 DL Platinum Old & Rare","38 yrs","1965","Glenlochy","Douglas Laing","N/A","42.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Dalmore 12 ("Old" Version)","12 yrs","N/A","Dalmore","Dalmore","$30","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Teacher's Highland Cream","N/A","N/A","Teacher's","Teacher's","$20","40","N/A","Wide","Scotland","Scotch","Blend",
"Ardbeg 1998 Chieftain's for Binny's","12 yrs","1998","Ardbeg","Chieftain's","$90","56.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
